";STRUCTURE-THRESHOLD MEASURE ANCHOR FILE FOR RASCH_FT_MEAN_EXAMPLE Jul 17 2023 20:32"
";ITEM","CATEGORY","Rasch-Andrich threshold MEASURE"
1,0,.000000
1,1,.000000
2,0,.000000
2,1,.000000
3,0,.000000
3,1,.000000
4,0,.000000
4,1,.000000
5,0,.000000
5,1,.000000
6,0,.000000
6,1,.000000
7,0,.000000
7,1,.000000
8,0,.000000
8,1,.000000
9,0,.000000
9,1,.000000
10,0,.000000
10,1,.000000
11,0,.000000
11,1,.000000
12,0,.000000
12,1,.000000
13,0,.000000
13,1,.000000
14,0,.000000
14,1,.000000
15,0,.000000
15,1,.000000
16,0,.000000
16,1,.000000
17,0,.000000
17,1,.000000
18,0,.000000
18,1,.000000
19,0,.000000
19,1,.000000
20,0,.000000
20,1,.000000
21,0,.000000
21,1,.000000
22,0,.000000
22,1,.000000
23,0,.000000
23,1,.000000
24,0,.000000
24,1,.000000
25,0,.000000
25,1,.000000
26,0,.000000
26,1,.000000
27,0,.000000
27,1,.000000
28,0,.000000
28,1,.000000
29,0,.000000
29,1,.000000
30,0,.000000
30,1,.000000
31,0,.000000
31,1,-.62533
31,2,.625333
32,0,.000000
32,1,-.22340
32,2,.223405
33,0,.000000
33,1,-1.6103
33,2,-1.0181
33,3,-.43794
33,4,.593940
33,5,.642005
33,6,1.83036
34,0,.000000
34,1,.000000
35,0,.000000
35,1,.000000
36,0,.000000
36,1,.000000
37,0,.000000
37,1,.000000
38,0,.000000
38,1,.000000
39,0,.000000
39,1,.000000
40,0,.000000
40,1,.000000
41,0,.000000
41,1,.000000
42,0,.000000
42,1,.000000
43,0,.000000
43,1,.000000
44,0,.000000
44,1,.000000
45,0,.000000
45,1,.000000
46,0,.000000
46,1,.000000
47,0,.000000
47,1,.000000
48,0,.000000
48,1,.000000
49,0,.000000
49,1,.000000
50,0,.000000
50,1,.000000
51,0,.000000
51,1,.000000
52,0,.000000
52,1,.000000
53,0,.000000
53,1,.000000
54,0,.000000
54,1,.000000
55,0,.000000
55,1,.000000
56,0,.000000
56,1,.000000
57,0,.000000
57,1,.000000
58,0,.000000
58,1,.000000
59,0,.000000
59,1,.000000
60,0,.000000
60,1,.000000
61,0,.000000
61,1,.000000
62,0,.000000
62,1,.000000
63,0,.000000
63,1,.000000
64,0,.000000
64,1,.000000
65,0,.000000
65,1,.000000
66,0,.000000
66,1,.000000
67,0,.000000
67,1,.000000
68,0,.000000
68,1,.000000
69,0,.000000
69,1,-.78682
69,2,.786822
70,0,.000000
70,1,-.75318
70,2,.753182
71,0,.000000
71,1,-.39613
71,2,.396126
72,0,.000000
72,1,.022647
72,2,-.02265
73,0,.000000
73,1,-.73597
73,2,-.34486
73,3,-.29811
73,4,-.02625
73,5,.607837
73,6,.797360
74,0,.000000
74,1,-1.2366
74,2,.043175
74,3,.120724
74,4,.481825
74,5,-.06227
74,6,.653115
